Gene Name	Value	Genbank	Description	Product	PubMedID	Custom 1 Field	GO biological process
SPCC1442.07c	0	SPCC1442.07c	ubiquitin/metalloprotease fusion protein (predicted)				
SPAC27D7.11c	0	SPAC27D7.11c	But2 family protein				
spd1	0	SPAC29B12.03	ribonucleotide reductase (RNR) inhibitor				
SPAC5H10.02c	0	SPAC5H10.02c	ThiJ domain protein				
sld3	0	SPAC24H6.06	DNA replication pre-initiation complex subunit Sld3				
erg32	0	SPBC27B12.03c	C-5 sterol desaturase Erg32				
SPCC736.13	0	SPCC736.13	short chain dehydrogenase (predicted)				
SPCC663.08c	0	SPCC663.08c	short chain dehydrogenase				
SPBC1773.02c	0	SPBC1773.02c	thioredoxin peroxidase (predicted)				
SPCC736.15	0	SPCC736.15	fungal protein associated with endocytosis (predicted)				
SPAC1B3.20	0	SPAC1B3.20	sequence orphan				
ppa2	0	SPBC16H5.07c	serine/threonine protein phosphatase Ppa2				
SPAC1786.01c	0	SPAC1786.01c	triacylglycerol lipase (predicted)				
meu8	0	SPCC550.10	aldehyde dehydrogenase Meu8 (predicted)				
SPAC29B12.13	0	SPAC29B12.13	S-(hydroxymethyl)glutathione synthase activity (predicted)				
SPAC1B3.06c	0	SPAC1B3.06c	UbiE family methyltransferase (predicted)				
SPAC1B3.08	0	SPAC1B3.08	COP9 signalosome complex subunit 12 (predicted)				
zwf1	0	SPAC3A12.18	glucose-6-phosphate 1-dehydrogenase (predicted)				
yak3	0	SPAC1F7.12	aldose reductase ARK13 family YakC				
SPAC31A2.12	0	SPAC31A2.12	arrestin/PY protein 1 (predicted)				
SPAC869.09	0	SPAC869.09	conserved fungal protein				
c11c11.12	0	c11c11.12	Inhouse probe				
chr2	0	SPCC417.05c	chitin synthase regulatory factor Chr2 (predicted)				
bqt4	0	SPBC19C7.10	bouquet formation protein Bqt4				
c27d7.10c	0	c27d7.10c	Inhouse probe				
SPAC27E2.06c	0	SPAC27E2.06c	mitochondrial methionine-tRNA ligase (predicted)				
Tf2-10-pseudo	0	SPBC1E8.04	retrotransposable element: pseudo				
SPCC1739.08c	0	SPCC1739.08c	short chain dehydrogenase (predicted)				
SPBC1683.03c	0	SPBC1683.03c	membrane transporter (predicted)				
rft1	0	SPBC887.19	Man5GlcNac2-PP-Dol translocation protein Rft1 (predicted)				
slt1	0	SPAC17G6.13	sequence orphan Slt1				
SPAC11D3.01c	0	SPAC11D3.01c	conserved fungal protein				
srk1	0	SPCC1322.08	MAPK-activated protein kinase Srk1				
SPCC1322.04	0	SPCC1322.04	UTP-glucose-1-phosphate uridylyltransferase (predicted)				
SPAC3A11.10c	0	SPAC3A11.10c	dipeptidyl peptidase (predicted)				
SPCC4G3.03	0	SPCC4G3.03	WD40/YVTN repeat-like protein				
ubc12	0	SPCC777.10c	NEDD8-conjugating enzyme Ubc12				
mvp1	0	SPAC3A11.06	sorting nexin Mvp1 (predicted)				
atf1	0	SPBC29B5.01	transcription factor, Atf-CREB family Atf1				
SPBC1683.06c	0	SPBC1683.06c	uridine ribohydrolase (predicted)				
mug182	0	SPAC15A10.05c	YjeF family pyridoxamine-phosphate oxidase (predicted)				
uba3	0	SPAC24H6.12c	NEDD8 activating enzyme				
SPBC21.02	0	SPBC21.02	TLDc domain protein 2				
SPAC29B12.11c	0	SPAC29B12.11c	human WW domain binding protein-2 ortholog				
tps1	0	SPAC328.03	alpha,alpha-trehalose-phosphate synthase [UDP-forming]				
SPAC3A12.08	0	SPAC3A12.08	conserved fungal protein				
SPAC24B11.05	0	SPAC24B11.05	pyrimidine 5'-nucleotidase (predicted)				
psm1	0	SPBC29A10.04	mitotic cohesin complex subunit Psm1				
SPAPJ691.02	0	SPAPJ691.02	yippee-like protein				
SPAC25A8.02	0	SPAC25A8.02	sequence orphan				
sib2	0	SPAC23G3.03	ornithine N5 monooxygenase (predicted)				
atg9	0	SPBC15D4.07c	autophagy associated protein Atg9				
SPCC663.06c	0	SPCC663.06c	short chain dehydrogenase (predicted)				
SPAC16C9.01c	0	SPAC16C9.01c	carbohydrate kinase (predicted)				
idh1	0	SPAC11G7.03	isocitrate dehydrogenase (NAD+) subunit 1 Idh1				
c5h10.11.b	0	c5h10.11.b	Inhouse probe				
SPAC31G5.21	0	SPAC31G5.21	human FAM32A homolog				
nta1	0	SPBC23E6.03c	protein N-terminal amidase Nta1 (predicted)				
sec18	0	SPAC1834.11c	secretory pathway protein Sec18 (predicted)				
mpr1	0	SPBC725.02	histidine-containing response regulator phosphotransferase Mpr1				
SPAC3G6.07	0	SPAC3G6.07	dubious				
maf1	0	SPAC31G5.12c	repressor of RNA polymerase III Maf1				
SPBC32F12.10	0	SPBC32F12.10	phosphoglucomutase (predicted)				
SPAPB24D3.08c	0	SPAPB24D3.08c	NADP-dependent oxidoreductase (predicted)				
gst3	0	SPAC688.04c	glutathione S-transferase Gst3				
SPAC688.03c	0	SPAC688.03c	human AMMECR1 homolog				
SPAC3G6.05	0	SPAC3G6.05	Mvp17/PMP22 family protein 1 (predicted)				
SPAC11D3.08c	0	SPAC11D3.08c	amino acid permease, unknown 1 (predicted)				
pkl1	0	SPAC3A11.14c	kinesin-like protein Pkl1				
atp9	0	SPMIT.10	F0-ATPase subunit 9 (predicted)				
atp8	0	SPMIT.09	F0-ATPase subunit 8 (predicted)				
mug180	0	SPBPB2B2.02	esterase/lipase (predicted)				
SPBC3H7.02	0	SPBC3H7.02	sulfate transporter (predicted)				
SPAC22F8.05	0	SPAC22F8.05	alpha,alpha-trehalose-phosphate synthase (predicted)				
atg22	0	SPAC2G11.13	vacuolar amino acid efflux transporter Atg22				
atp6	0	SPMIT.07	F0-ATPase subunit 6 (predicted)				
psp3	0	SPAC1006.01	vacuolar serine protease Psp3 (predicted)				
SPBC25B2.10	0	SPBC25B2.10	Usp (universal stress protein) family protein				
SPBC14F5.13c	0	SPBC14F5.13c	vacuolar membrane alkaline phosphatase (predicted)				
sme2	0	SPNCRNA.103	non-coding RNA (predicted)				
SPAC23H3.15c	0	SPAC23H3.15c	sequence orphan				
SPBC25B2.01	0	SPBC25B2.01	elongation factor 1 alpha related protein (predicted)				
SPBC530.05	0	SPBC530.05	transcription factor (predicted)				
SPAC513.06c	0	SPAC513.06c	dihydrodiol dehydrogenase (predicted)				
SPBC25B2.03	0	SPBC25B2.03	zf-C3HC4 type zinc finger				
ntp1	0	SPBC660.07	alpha,alpha-trehalase Ntp1				
SPAC18G6.09c	0	SPAC18G6.09c	sequence orphan				
uve1	0	SPBC19C7.09c	endonuclease Uve1				
pcr1	0	SPAC21E11.03c	transcription factor Pcr1				
pka1	0	SPBC106.10	cAMP-dependent protein kinase catalytic subunit Pka1				
SPCC23B6.01c	0	SPCC23B6.01c	oxysterol binding protein (predicted)				
uvi15	0	SPBC649.04	UV-induced protein Uvi15				
sst2	0	SPAC19B12.10	human AMSH/STAMBP protein homolog, ubiquitin specific-protease				
atg4	0	SPAC19B12.08	Atg8 deconjugator Atg4 (predicted)				
anc1	0	SPBC530.10c	mitochondrial adenine nucleotide carrier Anc1				
mfs2	0	SPAC11D3.05	MFS family membrane transporter (predicted)				
gld1	0	SPAC13F5.03c	mitochondrial glycerol dehydrogenase Gld1				
SPAC11D3.09	0	SPAC11D3.09	agmatinase (predicted)				
SPBC1271.05c	0	SPBC1271.05c	zf-AN1 type zinc finger protein				
SPAC2F3.05c	0	SPAC2F3.05c	xylose and arabinose reductase (predicted)				
mug150	0	SPCC1322.07c	sequence orphan				
gti1	0	SPAC1751.01c	gluconate transporter inducer Gti1				
SPCC61.03	0	SPCC61.03	carbohydrate kinase domain family protein				
SPCC576.17c	0	SPCC576.17c	pyridoxamine/pyridoxine/pyridoxal transmembrane transporter (predicted)				
hri1	0	SPAC20G4.03c	eIF2 alpha kinase Hri1				
cwf23	0	SPCC10H11.02	DNAJ domain protein Cwf23				
ran1	0	SPBC19C2.05	serine/threonine protein kinase Ran1				
mug190	0	SPCP31B10.06	C2 domain protein				
SPBC18H10.05	0	SPBC18H10.05	WD repeat protein, human WDR44 family				
bzz1	0	SPBC12C2.05c	diacylglycerol binding protein Bzz1 (predicted)				
SPAC11D3.17	0	SPAC11D3.17	zf-C2H2 type zinc finger protein				
SPAC11D3.13	0	SPAC11D3.13	ThiJ domain protein				
psl1	0	SPBC20F10.10	cyclin pho85 family (predicted)				
atg8	0	SPBP8B7.24c	autophagy associated protein Atg8				
SPAC343.20	0	SPAC343.20	dubious				
pfa3	0	SPBC2F12.15c	palmitoyltransferase Pfa3 (predicted)				
SPBC20F10.07	0	SPBC20F10.07	GRAM domain protein				
SPBC20F10.03	0	SPBC20F10.03	conserved eukaryotic protein				
mug121	0	SPAC13C5.06c	sequence orphan				
ubx3	0	SPAC343.09	UBX domain protein Ubx3, Cdc48 cofactor				
pzh1	0	SPAC57A7.08	serine/threonine protein phosphatase Pzh1				
SPAC2C4.07c	0	SPAC2C4.07c	ribonuclease II (RNB) family (predicted)				
ayr1	0	SPAC23D3.11	1-acyldihydroxyacetone phosphate reductase (predicted)				
nab3	0	SPAC3H8.09c	poly(A) binding protein Nab3 (predicted)				
vph2	0	SPCC757.10	endoplasmic reticulum membrane protein involved in assembly of the V-ATPase (predicted)				
SPCC1235.01	0	SPCC1235.01	sequence orphan				
SPCC594.04c	0	SPCC594.04c	steroid oxidoreductase superfamily protein (predicted)				
SPBC36.02c	0	SPBC36.02c	spermidine family transporter (predicted)				
hsf1	0	SPAC2E12.02	transcription factor Hsf1				
SPBC2F12.05c	0	SPBC2F12.05c	sterol binding ankyrin repeat protein (predicted)				
SPCC126.07c	0	SPCC126.07c	human CTD-binding SR-like protein rA9 homolog (predicted)				
SPBC24C6.09c	0	SPBC24C6.09c	phosphoketolase family protein (predicted)				
SPAC32A11.02c	0	SPAC32A11.02c	conserved fungal protein				
SPCC63.14	0	SPCC63.14	conserved fungal protein				
ubi4	0	SPBC337.08c	ubiquitin				
SPAC15E1.02c	0	SPAC15E1.02c	DUF1761 family protein				
plg7	0	SPBC106.11c	phospholipase A2, PAF family homolog				
SPBC1271.07c	0	SPBC1271.07c	N-acetyltransferase (predicted)				
SPAC17C9.11c	0	SPAC17C9.11c	zf-C2H2 type zinc finger protein/UBA domain protein				
SPBC8E4.05c	0	SPBC8E4.05c	fumarate lyase superfamily				
mok13	0	SPBC16D10.05	alpha-1,3-glucan synthase Mok13				
cid13	0	SPAC821.04c	poly(A) polymerase Cid13				
SPBC660.16	0	SPBC660.16	phosphogluconate dehydrogenase, decarboxylating				
rap1	0	SPBC1778.02	telomere binding protein Rap1				
SPCC364.07	0	SPCC364.07	D-3 phosphoglycerate dehydrogenase (predicted)				
tpp1	0	SPAC19G12.15c	trehalose-6-phosphate phosphatase Tpp1				
SPBC1773.17c	0	SPBC1773.17c	glyoxylate reductase (predicted)				
SPBC19G7.18c	0	SPBC19G7.18c	sequence orphan				
SPAC13F5.07c	0	SPAC13F5.07c	zf PARP type zinc finger protein				
arz1	0	SPCC1494.03	armadillo repeat containing, Zfs1 target number 1				
cta3	0	SPBC839.06	P-type ATPase, calcium transporting Cta3				
ctt1	0	SPCC757.07c	catalase				
SPAC20G4.05c	0	SPAC20G4.05c	UPF0061 family protein				
SPBC1271.08c	0	SPBC1271.08c	sequence orphan				
SPAC343.04c	0	SPAC343.04c	WD repeat protein, human WDR26 family, ubiquitin ligase complex subunit (predicted)				
SPAC23C4.05c	0	SPAC23C4.05c	LEA domain protein				
gyp7	0	SPAC630.05	GTPase activating protein Gyp7 (predicted)				
SPAC1F12.10c	0	SPAC1F12.10c	NADPH-hemoprotein reductase (predicted)				
SPAC22A12.17c	0	SPAC22A12.17c	short chain dehydrogenase (predicted)				
SPBC660.06	0	SPBC660.06	conserved fungal protein				
SPBC660.05	0	SPBC660.05	conserved fungal protein				
SPCC757.11c	0	SPCC757.11c	membrane transporter (predicted)				
mug168	0	SPBC660.09	sequence orphan				
c19g7.12c	0	c19g7.12c	Inhouse probe				
